Name,Country,Gender,Age,Weight (lbs),Height (in),Marathon,Half Marathon,10K,5K
Ostos Luis,PER,M,24,110,63,,,27:54.80,13:39.08
Tadese Zersenay,ERI,M,34,119,63,2:10:41,,27:24,12:59.27
Chani Hassan,BRN,M,28,132,67,,,28:21,13:28.67
Farah Mohamed,GBR,M,33,128,69,,,,
Kaya Ali,TUR,M,22,119,69,,,,
Kipchirchir Shadrack,USA,M,27,117,68,,,,
Osako Suguru,JPN,M,25,115,67,,,27:38.31,13:28.00
Tola Tamirat,ETH,M,25,130,71,2:06:17,,28:00,
Mcneill David,AUS,M,29,117,69,,,27:45.01,13:36.41
Cheptegei Joshua Kiprui,UGA,M,19,,,,,27:46,13:00.60
Abdi Bashir,BEL,M,27,123,69,,,27:36.40,13:06.10
Arikan Polat Kemboi,TUR,M,25,130,69,,,27:35.50,13:12.55
Elabbassi El Hassan,BRN,M,32,134,67,,,27:37,13:19.36
Toroitich Timothy,UGA,M,24,,,,,27:31.07,13:32.21
Tanui Paul Kipngetich,KEN,M,25,104,66,,,26:49.41,12:58.69
Robertson Zane,NZL,M,26,137,73,,,28:10,13:13.83
Hadis Abadi,ETH,M,18,139,67,,,26:57.88,13:02.49
Cheroben Abraham Naibei,BRN,M,23,132,69,,,27:35,
Kurong Moses Martin,UGA,M,22,,,,,27:27.43,13:29.20
Amlosom Nguse,ERI,M,29,123,71,,,27:56,13:30.22
Shitara Yuta,JPN,M,24,106,67,,,27:42.71,13:34.68
Mokoka Stephen,RSA,M,31,115,62,2:07:40,,27:38,13:11.44
Rupp Galen,USA,M,30,134,71,2:10:05,,26:44.36,13:01.26
Wellings Eloise,AUS,M,33,115,68,,,32:23,14:54.11
Maslova Darya,KGZ,M,21,97,65,,,31:36.90,15:42.82
Saina Betsy,KEN,M,28,104,60,,,30:46,14:57.18
Tunguskova Ekaterina,UZB,M,28,,,,,32:13.08,18:02.4
Inglese Veronica,ITA,M,25,95,63,,,31:37.43,15:22.45
Sekine Hanami,JPN,M,20,95,61,,,31:22.92,15:24.74
Hamidova Sitora,UZB,M,27,110,65,2:39:45,,31:57.77,15:50.26
Pappas Alexi,GRE,M,26,,,,,32:32,15:47.13
Nyirarukundo Salome,RWA,M,18,,,,,31:45.82,15:57.68
Chekwel Juliet,UGA,M,26,,,,,32:39,15:20.15
Romero Marisol,MEX,M,33,101,61,2:31:15,,31:46.43,15:21.41
Infeld Emily,USA,M,26,108,64,,,31:47,15:00.91
Potter Beth,GBR,M,24,112,67,,,32:03.45,15:28.32
Takashima Yuka,JPN,M,28,86,60,,,32:33,15:31.66
Rocha Carla Salome,POR,M,26,101,62,,,,
Wodak Natasha,CAN,M,34,104,63,2:35:16,,31:59,15:37.70
Scott Dominique,RSA,M,24,115,65,,,31:51.47,16:00.73
Vastenburg Jip,NED,M,22,126,71,,,31:35.48,15:27.30
Grovdal Karoline Bjerkeli,NOR,M,26,,,,,31:29,14:57.53
Burka Gelete,ETH,M,30,95,63,2:26:03,,32:01,14:31.20
Pavey Joanne,GBR,M,42,110,64,2:28:24,,31:47,14:39.96
Can Yasemin,TUR,M,19,108,65,,,,
Nukuri Diane,BDI,M,31,130,72,2:27:50,,31:49,16:02.96
Mohammed Alia Saeed,UAE,M,22,119,62,,,32:20,15:34.70
Andrews Jessica,GBR,M,23,115,66,,,,
Hall Marielle,USA,M,24,110,63,,,31:37.45,15:06.05
Dibaba Tirunesh,ETH,M,31,110,65,2:20:35,,30:30,14:27.42
Lahti Sarah,SWE,M,21,119,70,,,31:28.43,15:10.76
Flores Brenda,MEX,M,24,110,64,,,31:45.16,15:30.87
Cheruiyot Vivian Jepkemoi,KEN,M,32,88,61,,,30:47,14:20.87
Ayana Almaz,ETH,M,24,104,65,,,32:19,14:12.59
Marchant Lanni,CAN,M,32,106,61,2:28:00,,31:49,
