99 2773 CARVER David MRI 5 SEP 1987
100 2342 MESEL Amanuel ERI 29 DEC 1990
101 2888 IONESCU Marius ROU 18 DEC 1984
102 2868 PAK Chol PRK 8 NOV 1990
103 3103 WARD Jared USA 9 SEP 1988
104 2223 DONG Guojian CHN 16 MAR 1987
105 2313 ULAD Abdi Hakin DEN 14 JUN 1991
106 2939 RISTICEVIC Andjelko SRB 23 DEC 1985
107 2708 SON Myeongjun KOR 17 JAN 1994
108 2224 DUOBUJIE CHN 16 FEB 1994
109 3128 NDHLOVU Pardon ZIM 23 AUG 1987
110 2187 TAKIZAKI Kuniaki CAM 8 AUG 1977
111 2332 PIEDRA Bayron ECU 19 AUG 1982
112 3126 JUWAWO Wirimai ZIM 7 NOV 1980
113 2117 PRAMAU Uladzislau BLR 3 AUG 1984
114 2707 SHIM Jungsub KOR 21 FEB 1991
115 2763 BAT-OCHIR Ser-Od MGL 7 OCT 1981
116 2655 SASAKI Satoru JPN 16 OCT 1985
117 2250 GIRALDO Gerald COL 21 MAR 1989
118 2195 COOLSAET Reid CAN 29 JUL 1979
119 2728 MATHIBELLE Tsepo LES 30 JUN 1991
120 3006 MUSLU Ercan TUR 1 DEC 1988
121 2764 DAMBADARJAA Gantulga MGL 3 FEB 1989
122 2760 RAMOS Ricardo MEX 5 DEC 1985
123 2219 ESTRADA Daniel CHI 27 FEB 1990
124 2590 MOOGAS Tasama ISR 2 FEB 1988
125 2022 BRUNO Federico ARG 18 JUN 1993
126 3031 OLEFIRENKO Ihor UKR 14 MAR 1990
127 2732 DOPOLSKAS Valdas LTU 30 APR 1992
128 2897 GONGQA Lungile RSA 22 FEB 1979
129 2475 TEWELDE Tsegai GBR 8 DEC 1989
130 2582 CLOHISSEY Mick IRL 13 JAN 1986
131 2916 UWIRAGIYE Ambroise RWA 31 DEC 1980
132 3033 RUSS Ihor UKR 8 SEP 1988
133 2890 SOARE Nicolae-Alexandru ROU 20 SEP 1991
134 2804 MOEN Sondre Nordstad NOR 12 JAN 1991
135 2533 KALOMIRIS Michael GRE 9 OCT 1986
136 2459 HAWKINS Callum GBR 22 JUN 1992
137 2605 PERTILE Ruggero ITA 8 AUG 1974
138 3039 CUESTAS Martin Esteban URU 8 DEC 1986
139 2867 SILVA Rui Pedro POR 6 MAY 1981
140 2886 KINDE Yonas ROT 7 MAY 1980
141 3043 ZAMORA Ernesto Andres URU 13 APR 1983
142 2851 SHEGUMO Yared POL 10 JAN 1983
143 2352 CASTILLEJO Carles ESP 18 AUG 1978
144 2543 TRUJILLO Juan Carlos GUA 17 JUL 1985
145 2218 ARAVENA Victor CHI 5 FEB 1990
146 2338 ESTIFANOS Tewelde ERI 2 NOV 1981
147 2786 NAGEEYE Abdi NED 2 MAR 1989
148 2025 MASTROMARINO Mariano ARG 15 SEP 1982
149 2571 SINGH Nitendra IND 29 SEP 1986
150 2554 JOZSA Gabor HUN 18 AUG 1983
151 2118 RAHAUTSOU Stsiapan BLR 29 MAY 1986
152 2634 ABU DRAIS Methkal JOR 29 DEC 1983
153 2091 CAELEN Florent BEL 1 MAR 1989
154 2460 HAWKINS Derek GBR 29 APR 1989
155 2892 APRIL Lusapho RSA 24 MAY 1982
