Last,First,Country,Gender,Age,Weight (lbs),Height (in),Marathon,Half Marathon,10K,5K
Hamblin,Nikki,NZL,M,28,115,65,,,,15:18.02
Hamidova,Sitora,UZB,M,27,110,65,2:39:45,,31:57.77,15:50.26
Hawkins,Callum,GBR,M,24,137,70,2:10:52,,,14:11.60
Hawkins,Derek,GBR,M,27,150,71,2:12:57,,,
Heiner,HILLS Madeline,AUS,M,29,117,69,,,32:21,15:04.05
Ho,Chin-Ping,TPE,M,32,132,68,2:17:42,,,
Hosni,Wissem,TUN,M,31,126,69,2:16:35,,,
Houlihan,Shelby,USA,M,23,117,63,,,,15:06.14
Hrezi,Mohamed,LBA,M,24,,,2:18:40,,,
Huddle,Molly,USA,M,31,106,65,,,30:13.17,14:42.64
Ibrahimov,Hayle,AZE,M,26,128,67,,,30:06.64,13:09.17
Infeld,Emily,USA,M,26,108,64,,,31:26.94,15:00.91
Inglese,Veronica,ITA,M,25,95,63,,,31:37.43,15:22.45
Ionescu,Marius,ROU,M,31,121,67,2:13:00,,29:01.83,14:05.25
Irabaruta,Olivier,BDI,M,18,137,67,,,27:55.92,13:17.98
Ishikawa,Suehiro,JPN,M,36,123,67,2:09:10,,28:07.04,13:48.10
Jami,Segundo,ECU,M,30,119,65,2:17:11,,,
Joseph,Fabiano,TAN,M,30,110,,2:13:24,,27:19.72,13:12.76
Jozsa,Gabor,HUN,M,33,130,67,,,,
Juwawo,Wirimai,ZIM,M,35,139,68,2:12:38,,28:39,
Kalomiris,Michael,GRE,M,29,143,71,2:29:30,,,
Kamworor,Geoffrey Kipsang,KEN,M,23,128,68,2:06:12,,26:52.65,12:59.98
Kancys,Remigijus,LTU,M,29,137,68,2:15:39,,,
Karayel,Bekir,TUR,M,34,137,67,2:13:21,,,
Kawanivi,Mynhardt Mbeumuna,NAM,M,32,130,70,2:18:25,,,
Kaya,Ali,TUR,M,22,119,69,,,,
Keflezighi,Mebrahtom,USA,M,41,123,65,2:09:08,,27:13.98,13:11.77
Kharazishvili,Daviti,GEO,M,24,150,67,2:16:17,,,
Kifle,Aron,ERI,M,18,,,,,27:26.20,13:13.39
Kifle,Goitom,ERI,M,22,,,,,27:32.00,13:22.92
Kinde,Yonas,ROT,M,36,126,68,2:17:31,,,
Kipchirchir,Shadrack,USA,M,27,117,68,,,,
Kipchoge,Eliud,KEN,M,31,126,66,2:03:05,,26:49.02,12:46.53
Kiplimo,Jacob,UGA,M,15,,,,,27:26.68,13:19.54
Kiprop,Jackson,UGA,M,29,,,2:09:32,,28:16,
Kiprotich,Stephen,UGA,M,27,,,,,,
Kipyeko,Phillip,UGA,M,21,,,,,28:18,13:10.69
Kisri,Rachid,MAR,M,41,132,70,2:06:48,,28:36,
Kitajima,Hisanori,JPN,M,31,121,67,2:09:16,,28:08.53,13:58.50
Koech,Isiah Kiplangat,KEN,M,22,143,68,,,27:17.03,12:48.64
Korir,Leonard Essau,USA,M,29,130,67,,,27:29.40,13:15.45
Korir,Wesley,KEN,M,33,119,70,2:06:13,,,
Korir,Isaac,BRN,M,25,130,74,2:14:50,,28:05.46,
Kosmac,Anton,SLO,M,39,146,72,2:16:23,,,
Kozlowski,Artur,POL,M,31,119,67,2:10:58,,28:48.74,13:46.66
Krassilov,Mihail,KAZ,M,26,154,72,2:16:08,,,
Kreienbuhl,Christian,SUI,M,35,150,73,2:13:57,,,
Kuijken,Susan,NED,M,30,119,68,,,31:31.97,15:00.69
Kurong,Moses Martin,UGA,M,22,,,,,27:27.43,13:29.20
Laameche,El Hadi,ALG,M,26,132,65,2:16:12,,,
Lacaze,Genevieve,AUS,M,27,117,65,,,,15:10.35
Lagat,Bernard,USA,M,41,128,68,,,,
Lahti,Sarah,SWE,M,21,119,70,,,31:28.43,15:10.76
Leitao,Romario,STP,M,19,123,69,,,,15:53.32
Lilesa,Feyisa,ETH,M,26,148,69,2:04:52,,27:38,13:34.80
Machacuay,Raul,PER,M,33,126,65,,,,
Makorobondo,Kamongwa Salukombo,COD,M,28,,,2:22:50,,,
Makula,Saidi Juma,TAN,M,22,119,,2:12:01,,,
Marchant,Lanni,CAN,M,32,106,61,2:28:00,,31:46.94,
Marial,Guor,SSD,M,32,132,71,,,,
Maslova,Darya,KGZ,M,21,97,65,,,31:36.90,15:42.82
Mastromarino,Mariano,ARG,M,33,123,67,2:15:27,,29:47.69,
Mathibelle,Tsepo,LES,M,25,,,2:15:39,,,
Mead,Hassan,USA,M,25,143,74,,,27:33.04,13:02.80
Mechaal,Adel,ESP,M,25,157,72,,,,13:15.40
Merousis,Hristoforos,GRE,M,34,159,70,,,,
Mesel,Amanuel,ERI,M,25,130,70,2:08:17,,28:11,13:16.25
Meucci,Daniele,ITA,M,30,141,70,2:11:08,,27:32.86,13:19.00
Millington,Ross,GBR,M,26,128,68,,,27:55.06,13:57.95
Moen,Sondre Nordstad,NOR,M,25,,,2:12:54,,28:25.23,13:30.22
Mohamed,Mohamed Daud,SOM,M,20,,,,,,14:57.84
Mohammed,Alia Saeed,UAE,M,22,119,62,,,31:10.25,15:24.94
Mokoka,Stephen,RSA,M,31,115,62,2:07:40,,27:38,13:11.44
Molina,Luis Ariel,ARG,M,28,126,68,2:15:23,,,
Moogas,Tasama,ISR,M,28,117,65,2:15:29,,28:12.58,
Moradi,Mohammadjafar,IRI,M,26,137,67,2:17:41,,,
Muchiri,Bedan Karoki,KEN,M,26,119,67,,,26:52.36,13:15.25
Muneria,Charles Yosei,KEN,M,20,121,66,,,27:54.6,13:23.79
Murayama,Kota,JPN,M,23,119,69,,,27:29.69,13:19.62
Muslu,Ercan,TUR,M,27,115,63,2:16:45,,,
Mutai,Munyo Solomon,UGA,M,23,,,2:10:42,,,13:33.80
Naert,Koen,BEL,M,26,146,72,2:10:31,,28:32.29,13:32.83
Nageeye,Abdi,NED,M,27,119,65,2:10:24,,28:08,13:50.89
Nawowuna,Alice Aprot,KEN,M,22,119,60,,,29:53.51,15:16.74
Ndhlovu,Pardon,ZIM,M,28,119,62,2:16:52,,,
Ndiku,Caleb Mwangangi,KEN,M,23,143,66,,,28:28.4,12:59.17
Nihorimbere,Celestin,BDI,M,23,121,66,,,,
Niyonkuru,Abraham,BDI,M,26,115,64,2:16:33,,28:25,13:34.25
Nkhasi,Namakoe,LES,M,23,,,,,28:06.33,13:21.68
Nkoka,Lebenya,LES,M,33,,,2:15:31,,,
Nukuri,Diane,BDI,M,31,130,72,2:27:50,,31:28.69,15:59.39
Nurme,Tiidrek,EST,M,30,154,72,2:17:59,,,13:31.87
Nyasango,Cuthbert,ZIM,M,33,123,64,2:09:52,,27:57.34,13:31.27
Nyirarukundo,Salome,RWA,M,18,,,,,31:45.82,15:57.68
Nzima,Sibusiso,RSA,M,29,126,65,2:11:43,,28:31.51,13:39.22
O'Connell,Jessica,CAN,M,27,106,62,,,,15:06.44
Obiri,Hellen Onsando,KEN,M,26,110,63,,,,14:29.77
Olefirenko,Ihor,UKR,M,26,154,73,2:12:04,,,
Oliver,Lucy,NZL,M,27,117,66,,,,15:20.13
Onishi,Misaki,JPN,M,31,101,65,,,,15:16.82
Orta,Luis Alberto,VEN,M,27,110,63,2:18:53,,,
Orth,Florian,GER,M,27,139,71,,,,13:23.67
Osako,Suguru,JPN,M,25,115,67,,,27:38.31,13:08.40
Osman,Abrar,ERI,M,22,128,66,,,27:41.69,13:04.12
Ostos,Luis,PER,M,24,110,63,,,27:54.80,13:39.08
Ozbilen,Kaan Kigen,TUR,M,30,126,70,2:06:10,,27:03.49,12:58.58
Pacheco,Cristhian,PER,M,23,110,64,2:12:16,,31:17.8,
Pacheco,Raul,PER,M,37,121,66,,,,
Pak,Chol,PRK,M,25,117,65,,,,
Pappas,Alexi,GRE,M,26,,,,,31:36.16,15:28.38
Paula,Paulo Roberto,BRA,M,37,121,67,2:10:23,,,14:23.59
Pavey,Joanne,GBR,M,42,110,64,2:28:24,,30:53.20,14:39.96
Perez,Richer,CUB,M,30,128,64,2:17:04,,,
Pertile,Ruggero,ITA,M,42,121,65,2:09:53,,28:31,13:55.86
Petrov,Andrey,UZB,M,29,137,67,2:17:48,,,
Pflieger,Philipp,GER,M,29,154,74,2:12:50,,,13:31.24
Piedra,Bayron,ECU,M,34,150,69,2:14:12,,27:32.59,13:23.72
Pollock,Paul,IRL,M,30,126,70,2:15:38,,28:32.18,
Potter,Beth,GBR,M,24,112,67,,,32:03.45,15:28.32
Pramau,Uladzislau,BLR,M,32,146,70,2:15:12,,,
Prodius,Roman,MDA,M,35,154,72,2:12:31,,,14:55.71
Rahautsou,Stsiapan,BLR,M,30,128,69,2:12:04,,28:54.32,14:12.23
Ram,Kheta,IND,M,29,117,67,2:15:26,,,
Ramos,Ricardo,MEX,M,30,123,68,2:14:58,,,
Ribas,Ricardo,POR,M,38,139,69,2:13:21,,28:51.52,13:39.88
Rimal,Hari Kumar,NEP,M,29,130,65,,,,14:32.18
Ringer,Richard,GER,M,27,137,72,,,28:28.96,13:10.94
Risticevic,Andjelko,SRB,M,30,172,75,2:25:51,,,
Robertson,Zane,NZL,M,26,137,73,,,27:33.67,13:13.83
Robinson,Brett,AUS,M,25,132,69,,,28:24.49,13:18.96
Rocha,Carla Salome,POR,M,26,101,62,,,,
Romero,Marisol,MEX,M,33,101,61,2:31:15,,31:46.43,15:21.41
Rop,Albert Kibichii,BRN,M,24,139,70,,,,12:51.96
Ruiz,Andres,COL,M,28,141,65,,,,
Rupp,Galen,USA,M,30,134,71,2:10:05,,26:44.36,12:58.90
Russ,Ihor,UKR,M,27,137,69,2:12:46,,,
Saad,Atef,TUN,M,28,126,69,2:13:51,,,
Sadi,Hakim,ALG,M,23,123,69,2:18:22,,,
Saina,Betsy,KEN,M,28,104,60,,,30:07.78,14:39.49
San,NAING San Naing,MYA,M,25,126,67,,,,15:13.83
Sasaki,Satoru,JPN,M,30,123,67,2:08:56,,28:32.30,
Scott,Dominique,RSA,M,24,115,65,,,31:51.47,15:25.10
Seaward,Kevin,IRL,M,32,130,69,2:14:52,,,
Seccafien,Andrea,CAN,M,25,101,60,,,,15:17.81
Sekine,Hanami,JPN,M,20,95,61,,,31:22.92,15:24.74
Shegumo,Yared,POL,M,33,137,70,2:10:34,,,14:02.53
Shelley,Michael,AUS,M,32,132,72,2:11:15,,27:59.77,13:38.30
Shim,Jungsub,KOR,M,25,128,66,2:13:28,,,
Shitara,Yuta,JPN,M,24,106,67,,,27:42.71,13:34.68
Silva,Rui Pedro,POR,M,35,132,68,2:12:15,,28:01.63,13:49.51
Simbu,Alphonce Felix,TAN,M,24,121,,2:09:19,,28:12,
Singh,Nitendra,IND,M,29,128,68,2:15:18,,,
Siosi,Rosefelo,SOL,M,19,,,,,34:08.16,15:47.76
Sitkovskyy,Oleksandr,UKR,M,38,150,72,2:09:11,,28:52.9,
Soare,Nicolae-Alexandru,ROU,M,24,130,66,2:18:52,,30:37.23,
Son,Myeongjun,KOR,M,22,137,71,2:12:34,,30:00.00,14:00.83
Srisung,Boonthung,THA,M,35,130,67,2:24:01,,29:29.59,14:10.56
St,LAWRENCE Ben,AUS,M,34,143,70,,,27:24.95,13:10.08
Suzuki,Ayuko,JPN,M,24,86,61,,,,
Szost,Henryk,POL,M,34,154,73,2:07:39,,28:31.90,
Tadese,Zersenay,ERI,M,34,119,63,2:10:41,,26:37.25,12:59.27
Takashima,Yuka,JPN,M,28,86,60,,,31:35.76,15:31.66
Takizaki,Kuniaki,CAM,M,39,121,59,2:30:26,,,
Tanui,Paul Kipngetich,KEN,M,25,104,66,,,26:49.41,12:58.69
Teferi,Senbere,ETH,M,21,,,,,30:40.59,14:35.09
Teferi,Maru,ISR,M,24,115,65,2:18:19,,30:01.11,
Tewelde,Hiskel,ERI,M,29,,,,,27:30.50,13:17.24
Tewelde,Tsegai,GBR,M,26,123,68,2:12:23,,,
Tiapkin,Ilya,KGZ,M,25,143,63,2:19:19,,,
Tiernan,Patrick,AUS,M,21,183,72,,,,13:20.88
Tola,Tamirat,ETH,M,25,130,71,2:06:17,,26:57.33,
Toroitich,Timothy,UGA,M,24,,,,,27:31.07,13:32.21
Torrence,David,PER,M,30,143,75,,,,13:16.53
Trujillo,Juan Carlos,GUA,M,31,128,57,2:14:21,,28:15.94,
Tseveenravdan,Byambajav,MGL,M,26,128,67,2:16:26,,,
Tunguskova,Ekaterina,UZB,M,28,,,,,32:13.08,18:02.4
Twell,Stephanie,GBR,M,27,126,66,,,32:26,14:54.08
Uehara,Miyuki,JPN,M,20,86,61,,,31:38.80,15:21.40
Ulad,Abdi Hakin,DEN,M,25,126,69,2:14:03,,29:50.67,
Uwiragiye,Ambroise,RWA,M,35,,,2:18:26,,,
Vargas,Daniel,MEX,M,32,117,64,,,,
Vastenburg,Jip,NED,M,22,126,71,,,31:35.48,15:27.30
Vernon,Andrew,GBR,M,30,157,72,,,27:42.62,13:11.50
Ward,Jared,USA,M,27,143,70,2:11:30,,,13:34.74
Wellings,Eloise,AUS,M,33,115,68,,,31:14.94,14:54.11
Wenth,Jennifer,AUT,M,25,104,65,,,,15:16.12
Westcott,Scott,AUS,M,40,141,70,2:11:36,,28:19.41,13:33.35
Whittle,Laura,GBR,M,31,130,69,,,,15:08.58
Wodak,Natasha,CAN,M,34,104,63,2:35:16,,31:41.59,15:37.70
Yanez,Enzo,CHI,M,30,139,69,2:17:35,,,
Yeshaneh,Ababel,ETH,M,25,119,65,2:33:10,,30:35.91,14:41.58
Zamora,Ernesto Andres,URU,M,33,139,71,,,,
Zhu,Renxue,CHN,M,25,110,67,,,,
